"","glm","rf","xgbTree","nnet"
"AUC",0.497460508161533,0.50117510110408,0.498423850203491,0.503027295954978
"balAccuracy",0.497460508161533,0.50117510110408,0.498423850203491,0.503027295954978
"EMP",0.183194158382146,0.183194184515649,0.183194158382146,0.183194333576723
"acceptedLoans",0.578469890720504,0.578470088402074,0.578469890720504,0.578471215944237
"profit",-1478119.7914,-142918.3844,-675474.5342,307803.34
"profitPerLoan",-209.365409546742,-20.243397223796,-95.6762796317281,43.5982067988669
"profitPerEUR",-0.00343385269073278,-0.000332016851193297,-0.00156920978954435,0.000715064728464562
"statParityDiff",0.00310163831417587,0.0119211557140048,0.0138226209875306,0.00426526033504449
"averageOddsDiff",0.00293230542981228,0.0135275168542861,0.0218218270340414,0.00082473839150507
"predParityDiff",0.0599854946010627,0.0634531580871489,0.0554172234955235,0.0587441623539786
