"","glm","rf","xgbTree","nnet"
"AUC",0.594387366018366,0.796503997535124,0.783363048592777,0.800690923609869
"balAccuracy",0.5,0.722793883039336,0.711043864631653,0.72502077438492
"EMP",0.181060279339823,0.184487716769912,0.184126968080183,0.1845945569128
"acceptedLoans",0.581043473159769,0.604374155082628,0.599805989159366,0.606952648759896
"profit",11930840.7884,30239854.4972,27965282.147,35364568.8692
"profitPerLoan",1689.92079155807,4283.26550951841,3961.08812280453,5009.1457321813
"profitPerEUR",0.0281044668501482,0.071233453144071,0.0658754365257776,0.0833053069001269
"statParityDiff",0,0.0382997195740833,0.0325120488974339,0.0206205660000023
"averageOddsDiff",0,0.0234114041493584,0.0242048529926849,0.0200527803269556
"predParityDiff",NA,0.00869295840610396,0.00218034877779549,0.00340047661476228
