"","glm","rf","xgbTree","nnet"
"AUC",0.5,0.668862909591816,0.674604713629601,0.670345000005018
"balAccuracy",0.5,0.668862909591816,0.674604713629601,0.670345000005018
"EMP",0.183194158382146,0.183598181745423,0.183626172472625,0.183605338295403
"acceptedLoans",0.578469890720504,0.581526043241512,0.58173777340189,0.581580177507627
"profit",-89237858.164,17456930.0082,20703596.754,18294423.85
"profitPerLoan",-12639.9232526912,2472.65297566572,2932.52078668555,2591.27816572238
"profitPerEUR",-0.207310436646983,0.0405545791547889,0.0480969822846587,0.0425001795715272
"statParityDiff",0,0.220306317039647,0.216924454240479,0.226726625501013
"averageOddsDiff",0,0.216736720538563,0.213654457866796,0.228139188704129
"predParityDiff",NA,0.0617267803286761,0.0601639235600551,0.0720411603568167
