"","glm","rf","xgbTree","nnet"
"AUC",0.591081653915218,0.797166543317106,0.802025460375241,0.802956185500046
"balAccuracy",0.5,0.723333440012025,0.726737475298958,0.730488588037631
"EMP",0.1834236500406,0.186198577533417,0.18655008874406,0.186526143851992
"acceptedLoans",0.580205833674015,0.598966933920536,0.601443480854687,0.601773010511872
"profit",4732293.2574,28245664.4286,40231037.89,41783847.0184
"profitPerLoan",670.296495382436,4000.80232699717,5698.44729320113,5918.39192895184
"profitPerEUR",0.0109936948478772,0.0656181260571701,0.0934616115103245,0.0970689766472871
"statParityDiff",0,0.11091496299656,0.116767512283986,0.202453174488558
"averageOddsDiff",0,0.0736539656808862,0.0765686879007632,0.146221703109385
"predParityDiff",NA,0.0249959217916151,0.0262710805217145,0.0261609803360002
