"","glm","rf","xgbTree","nnet"
"AUC",0.795722143563723,0.79733325200477,0.80150437027661,0.801424807300926
"balAccuracy",0.72185201866379,0.721134502241869,0.721435191189217,0.728381590945053
"EMP",0.18611770026206,0.18628610378095,0.186534561953906,0.186409585588834
"acceptedLoans",0.599994794266288,0.598886390627889,0.600916654402267,0.604802713230841
"profit",19248838.6958,18421982.6396,22447065.4392,24925830.1664
"profitPerLoan",2726.46440450425,2609.34598294618,3179.47102538244,3530.57084509915
"profitPerEUR",0.078217006814823,0.0682314063162778,0.0791823263192396,0.0879262023519174
"statParityDiff",0.22306161413527,0.134538130754857,0.0941252114476494,0.170978685232202
"averageOddsDiff",0.167680194005563,0.0911663570276535,0.054529673006266,0.113890737190172
"predParityDiff",0.0224146322719471,0.0284304626875684,0.0341723910428067,0.0396637196286198
