"","glm","rf","xgbTree","nnet"
"AUC",0.793774829976653,0.797448442689958,0.802157210418367,0.80144499076077
"balAccuracy",0.724004902462036,0.721134334975628,0.723171582045374,0.730465059252951
"EMP",0.186029242664207,0.186250500302019,0.186515407439765,0.186394666927336
"acceptedLoans",0.59991530889041,0.5996405183753,0.603786125735259,0.600806463718152
"profit",20105255.4482,16342092.2124,21378831.5078,21739978.383
"profitPerLoan",2847.76989351275,2314.74393943343,3028.16310308782,3079.31705141643
"profitPerEUR",0.0816970274029438,0.0664055405183826,0.0868721607659068,0.0883396689125066
"statParityDiff",0.246744563117032,0.145380462813886,0.0887574099070157,0.258059784147546
"averageOddsDiff",0.198062845405901,0.0958664697858184,0.0533540489988515,0.19825225169527
"predParityDiff",0.00140912447092834,0.0369084547684317,0.0280304045547948,0.0136405487219231
